combined_recipe,combined_ingredients
"Singapore Sweet Potato Noodles (Spiralizer) Steps: 1) To prepare the sauce. in a small bowl, whisk together the sesame oil, ginger, garlic, tamari, vinegar, maple syrup and 2 teaspoons of the curry powder; set aside. 2) Using a spiralizer, turn the sweet potatoes into spaghetti-like noodles or use a vegetable peeler to create long, thin, ribbons; set aside. 3) In a large Dutch oven (can use wok), melt the coconut oil over medium heat and cook the bell pepper until it starts to soften, about 5 minutes. Add the bean sprouts and reserved sauce and cook until the vegetables shrink in size, about 5 minutes more. Add the sweet potato noodles, green onions, and peas and toss well to combine. Partially cover the pot and cook until the potatoes are tender, 8 to 10 minutes. 4) Taste and adjust the seasonings, adding more curry powder if desired. Serve warm, garnished with cilantro. Store leftovers in an airtight container in the refrigerator for up to 3 days. Ingredients: 2 medium sweet potatoes, 2 teaspoons sesame oil, 1 tablespoon minced fresh ginger, 1 garlic clove, minced, 1/4 cup tamari (or low sodium soy sauce), 1 tablespoon unfiltered apple cider vinegar, 1 tablespoon maple syrup (optional), 2 -3 teaspoons curry powder, 1 teaspoon coconut oil (can sub canola oil), 1 red bell pepper, chopped, 3 cups mung bean sprouts or 3 cups shredded cabbage, 6 green onions, thinly sliced, 1 cup fresh peas or 1 cup frozen peas, fresh cilantro, for garnish","2 medium sweet potatoes, 2 teaspoons sesame oil, 1 tablespoon minced fresh ginger, 1 garlic clove, minced, 1/4 cup tamari (or low sodium soy sauce), 1 tablespoon unfiltered apple cider vinegar, 1 tablespoon maple syrup (optional), 2 -3 teaspoons curry powder, 1 teaspoon coconut oil (can sub canola oil), 1 red bell pepper, chopped, 3 cups mung bean sprouts or 3 cups shredded cabbage, 6 green onions, thinly sliced, 1 cup fresh peas or 1 cup frozen peas, fresh cilantro, for garnish, thai"
"Curried Singapore Noodles Steps: 1) Bring 4 quarts water to boiling. 2) To the boiling water stir in 1 tablespoon salt and the noodles. 3) Cook, stirring often, until the noodles are slightly underdone, about two minutes. 4) Drain noodles and rinse under cold water and drain again and set aside. 5) Pat the shrimp dry with paper towl and toss with 1/2 teaspoon of the curry powder. 6) Heat 1 tablespoon of the oil in large frying pan or wok until just smoking. 7) Add the shrimp and cook stirring ofter until slightly browned, about 2 minutes. 8) Transfer shrimp to clean bowl. 9) Add the remaining 1 tablespoon of oil to the skillet and heat over medium heat until shimmering. 10) Add the shallots,bell pepper and the remaining 2 teaspoons curry powder. 11) Cook until the vegetables have softened, about 2 minutes. 12) Stir in the garlic and cook until fragrant, about 15 seconds. 13) Stir in the cooked vermicelli, shrimp and any accumulated juice, the bean sprouts, broth, soy sauce, mirin and scallions. 14) Toss until ingredients are combined and noodles have heated through, about 2 minutes. 15) For a spicier dish, add a pinch of cayenne pepper to the dish, or serve with Tobasco. Ingredients: 6 ounces rice vermicelli (or rice sticks), 1 tablespoon salt, 1 lb medium shrimp, peeled and deveived, 1/2 teaspoon curry powder, 2 teasspoons curry powder, 2 tablespoons vegetable oil, 3 shallots, sliced thin, 1 red bell pepper, stemmed seeded and sliced thin, 2 garlic cloves, minced, 1 cup bean sprouts, 3/4 cup chicken broth, 1/4 cup soy sauce, 2 tablespoons mirin, 4 scallions, sliced thin, cayenne pepper, Tabasco sauce","6 ounces rice vermicelli (or rice sticks), 1 tablespoon salt, 1 lb medium shrimp, peeled and deveived, 1/2 teaspoon curry powder, 2 teasspoons curry powder, 2 tablespoons vegetable oil, 3 shallots, sliced thin, 1 red bell pepper, stemmed seeded and sliced thin, 2 garlic cloves, minced, 1 cup bean sprouts, 3/4 cup chicken broth, 1/4 cup soy sauce, 2 tablespoons mirin, 4 scallions, sliced thin, cayenne pepper, Tabasco sauce, japanese"
"The Raffles Hotel Original Singapore Gin Sling Cocktail Steps: 1) Shake with ice. 2) Strain into an ice filled collins glass. 3) Garnish with cherry and slice of pineapple. 4) SINGAPORE SLING. 5) The Singapore Sling was created at Raffles Hotel at the turn-of-the-century by Hainanese-Chinese bartender, Mr. Ngiam Tong Boon. 6) In the Hotel's museum, visitors may view the safe in which Mr. Ngiam locked away his precious recipe books, as well as the Sling recipe hastily jotted on a bar-chit in 1936 by a visitor to the Hotel who asked the waiter for it. 7) Originally, the Singapore Sling was meant as a woman's drink, hence the attractive pink colour. Today, it is very definately a drink enjoyed by all, without which any visit to Raffles Hotel is incomplete. 8) Metric Measurements as printed on the orginal raffles Hotel menu. 9) 30ml Gin. 10) 15 ml Cherry Brandy. 11) 120 ml Pineapple Juice. 12) 15 ml Lime Juice. 13) 7.5 ml Cointreau. 14) 7.5 ml Dom Benedictine. 15) 10 ml Grenadine. 16) A Dash of Angostura Bitters. 17) Garnish with a slice of Pineapple and Cherry. Ingredients: 1 1/2 ounces gin, 1/2 ounce cherry heering, 1/4 ounce Cointreau liqueur, 1/4 ounce benedictine, 4 ounces pineapple juice, 1/2 ounce lime juice, 1/3 ounce grenadine, 1 dash bitters","1 1/2 ounces gin, 1/2 ounce cherry heering, 1/4 ounce Cointreau liqueur, 1/4 ounce benedictine, 4 ounces pineapple juice, 1/2 ounce lime juice, 1/3 ounce grenadine, 1 dash bitters, mexican"
"Singapore Fried Rice And Veggies Steps: 1) Heat the oil and butter in a frying pan and fry the carrots and onions for 1-2 minutes. 2) Move aside in the frying pan and add in the beaten egg, scramble until cooked. 3) Stir in rice and add salt and sugar to taste. 4) Combine in the fried onions and carrots. 5) Stir fry until all combined. 6) Serve hot with additional soy sauce as needed. Ingredients: 2 cups rice (prepare day ahead and keep in fridge until ready), 2 tablespoons chopped carrots, 2 tablespoons onions, 1 tablespoon vegetable oil, 1 teaspoon butter, 1 egg, 2 tablespoons soy sauce, salt, sugar, pepper","2 cups rice (prepare day ahead and keep in fridge until ready), 2 tablespoons chopped carrots, 2 tablespoons onions, 1 tablespoon vegetable oil, 1 teaspoon butter, 1 egg, 2 tablespoons soy sauce, salt, sugar, pepper, japanese"
"Singapore Noodles Steps: 1) 1. Bring a large pot of salted water to a boil. Add pasta and cook for 8-10 minutes or until al dente. Drain. 2) 2. In a deep skillet brown, chicken, pork and garlic in the oil over medium heat. 3) 3. Reduce head to medium low and add the onion, carrots and water. Cover and steam for 5 minutes, stir in the celery and shrimp. Cover and steam for 2 minutes. 4) 4. Mix in the bean sprouts, the curry powder and soy sauce. Stir together until blended and hot 4-5 minutes. Toss with the noodles. 5) 5. Serve with hot pepper sauce and soy sauce. Ingredients: 1 lb dry vermicelli, 2 boneless skinless chicken breasts, cut into strips, 2 pork chops, thinly sliced, 2 garlic cloves, crushed, 3 tablespoons vegetable oil, 1/2 onion, thinly sliced, 2 carrots, thinly sliced, 2 stalks celery, thinly sliced, 6 ounces frozen shrimp, thawed, 1 cup bean sprouts, 2 tablespoons soy sauce, 3 tablespoons curry powder, 1/4 cup water","1 lb dry vermicelli, 2 boneless skinless chicken breasts, cut into strips, 2 pork chops, thinly sliced, 2 garlic cloves, crushed, 3 tablespoons vegetable oil, 1/2 onion, thinly sliced, 2 carrots, thinly sliced, 2 stalks celery, thinly sliced, 6 ounces frozen shrimp, thawed, 1 cup bean sprouts, 2 tablespoons soy sauce, 3 tablespoons curry powder, 1/4 cup water, vietnamese"
"Singapore Noodles Steps: 1) Separate noodles,then soak according to package directions. If noodles soften before you need them; drain and toss with a little vegetable oil. 2) Mean while rinse shrimp under cold running water to remove any ice crystals. Pat dry with paper towels. In a small bowl, stir lime juice with soy and 1 tablespoon of oil. 3) Heat remaining 1 tablespoon oil in a large non-stick frying pan or wok over medium-high heat. Add chicken. Stir fry until golden, 3 minutes. Then add shrimp, carrot, pepper, garlic and ginger. Sprinkle with curry powder and salt. Stir often until shrimp turn bright pink, 3 minutes. Add drained noodles; then pour lime juice mixture. Stir often separating noodles until hot and noodles turn yellow, 2 minutes. Remove from heat and stir in onions and coriander. 4) Hot sauce can be added if not spicy enough. Ingredients: 0.5 (250 g) package vermicelli, 0.5 (454 g) bag frozen shrimp, peeled and uncooked, 1 boneless skinless chicken breast, cut into strips, 2 green onions, sliced, 1 carrot, sliced into julienne strips, 1/2 red pepper, thinly sliced, 2 tablespoons lime juice, 1 tablespoon soy sauce, 1 tablespoon water, 2 tablespoons vegetable oil, 1 garlic clove, chopped, 1 teaspoon ginger, finely grated, 2 teaspoons curry powder, salt, 1/3 cup fresh coriander (optional)","0.5 (250 g) package vermicelli, 0.5 (454 g) bag frozen shrimp, peeled and uncooked, 1 boneless skinless chicken breast, cut into strips, 2 green onions, sliced, 1 carrot, sliced into julienne strips, 1/2 red pepper, thinly sliced, 2 tablespoons lime juice, 1 tablespoon soy sauce, 1 tablespoon water, 2 tablespoons vegetable oil, 1 garlic clove, chopped, 1 teaspoon ginger, finely grated, 2 teaspoons curry powder, salt, 1/3 cup fresh coriander (optional), indian"
"Singapore Noodles With Ground Beef And Chickpeas Steps: 1) Prepare the rice vermicelli according to package directions; set aside. 2) In a large skillet over medium heat cook the ground beef with green onions, jalapeno pepper (if using) carrots, bell pepper, ginger, garlic and curry powder until the meat is completely cooked through (about 15 minutes) drain fat. 3) Add in beef broth, soy sauce, chili paste and sugar; bring to a boil over medium heat stirring and simmer for 5 minutes. 4) Season with black pepper to taste and salt if desired. 5) Reduce heat to low and add in the cooked noodles and chickpeas; toss to combine until heated through. 6) Sprinkle with green onions. Ingredients: 6 ounces rice vermicelli (or use angel hair pasta broken in half), 1 lb extra lean ground beef, 1 -2 tablespoon fresh minced garlic, 5 green onions, chopped, 1 jalapeno pepper (seeded and chopped) (optional), 1 large carrot (peeled and diced), 1 small red bell pepper (seeded and chopped), 1 tablespoon grated gingerroot, 1 tablespoon curry powder (hot or mild), 1/2 cup beef broth, 2 tablespoons low sodium soy sauce, 1/2-1 teaspoon hot chili paste (or 2 tablespoons Asian chili sauce), 1 teaspoon sugar, 1 (19 ounce) can chickpeas (rinsed and drained), black pepper, salt (optional), chopped green onion (optional)","6 ounces rice vermicelli (or use angel hair pasta broken in half), 1 lb extra lean ground beef, 1 -2 tablespoon fresh minced garlic, 5 green onions, chopped, 1 jalapeno pepper (seeded and chopped) (optional), 1 large carrot (peeled and diced), 1 small red bell pepper (seeded and chopped), 1 tablespoon grated gingerroot, 1 tablespoon curry powder (hot or mild), 1/2 cup beef broth, 2 tablespoons low sodium soy sauce, 1/2-1 teaspoon hot chili paste (or 2 tablespoons Asian chili sauce), 1 teaspoon sugar, 1 (19 ounce) can chickpeas (rinsed and drained), black pepper, salt (optional), chopped green onion (optional), korean"
"Pork And Shrimp Singapore Noodles Steps: 1) In a bowl, pour boiling water over noodles to cover, let stand for 10 minutes; drain. 2) Meanwhile, whisk together soy sauce, oyster sauce, rice wine vinegar, honey and chili paste; set aside. 3) In a wok, or large deep skillet, heat the oil over medium-high heat; stir-fry curry powder, ginger root and minced garlic for 30 seconds. 4) Add in leeks and bell peppers; stir-fry 1 minute. 5) Add in the pork and shrimp; stir-fry for 4 minutes, or until the shrimp are pink. 6) Add in the drained noodles, sauce and bean sprouts; gently toss to combine; stir-fry for 5 minutes, or until noodles are heated through. Ingredients: 6 ounces medium rice noodles, 2 tablespoons soy sauce, 2 tablespoons oyster sauce, 2 tablespoons rice wine vinegar, 2 tablespoons honey, 1/2 teaspoon hot chili paste (or more to taste), 1 -2 tablespoon vegetable oil, 1 tablespoon curry powder, 1 tablespoon minced gingerroot, 2 tablespoons minced fresh garlic (or to taste), 1 cup finely sliced leek, 1 red sweet bell pepper, seeded and chopped, 1 green bell pepper, chopped, 8 ounces lean pork, cut into thin strips, 8 ounces shrimp, peeled and deveined, 3 cups bean sprouts","6 ounces medium rice noodles, 2 tablespoons soy sauce, 2 tablespoons oyster sauce, 2 tablespoons rice wine vinegar, 2 tablespoons honey, 1/2 teaspoon hot chili paste (or more to taste), 1 -2 tablespoon vegetable oil, 1 tablespoon curry powder, 1 tablespoon minced gingerroot, 2 tablespoons minced fresh garlic (or to taste), 1 cup finely sliced leek, 1 red sweet bell pepper, seeded and chopped, 1 green bell pepper, chopped, 8 ounces lean pork, cut into thin strips, 8 ounces shrimp, peeled and deveined, 3 cups bean sprouts, thai"
"Singapore Five-Spice Stir Fry Steps: 1) Cook pasta per package directions. Drain and cover to keep warm. 2) Meanwhile in a small bowl, combine all sauce ingredients and mix until blended. Set aside. 3) Spray a nonstick skillet or wok with nonstick cooking spray. Heat over medium-high heat until hot. Add mushrooms, carrots, onion, and garlic. Cook and stir 4-5 minutes. 4) Add broccoli, cover, and cook 2-4 minutes or until vegetable are crisp-tender, stirring occasionally. Add sauce, cook and stir 2-3 minutes or until bubbly and thickened. 5) Serve over pasta. Ingredients: 8 ounces spaghetti or 8 ounces linguine, 1/2 cup orange juice, 1 tablespoon cornstarch, 3/4 teaspoon Chinese five spice powder, 1/4 teaspoon crushed red pepper flakes, 2 tablespoons soy sauce, 2 teaspoons liquid sweetener, 12 ounces mushrooms (cut into 1/4-inch slices), 1 cup fresh baby carrots (quartered lengthwise), 1 medium onion (cut into thin wedges), 2 garlic cloves (minced), 3 cups broccoli florets (about 6 oz.)","8 ounces spaghetti or 8 ounces linguine, 1/2 cup orange juice, 1 tablespoon cornstarch, 3/4 teaspoon Chinese five spice powder, 1/4 teaspoon crushed red pepper flakes, 2 tablespoons soy sauce, 2 teaspoons liquid sweetener, 12 ounces mushrooms (cut into 1/4-inch slices), 1 cup fresh baby carrots (quartered lengthwise), 1 medium onion (cut into thin wedges), 2 garlic cloves (minced), 3 cups broccoli florets (about 6 oz.), italian"
"P F Chang'S Singapore Street Noodles Steps: 1) Combine vinegar, curry powder and turmeric; mix until powders are well dissolved. Add soy sauce, oyster sauce, chili sauce and ketchup; mix well. Set aside. 2) Bring water to a rolling boil. Place rice vermicelli in boiling water for 2 minutes; drain, then immediately rinse under rapid running hot water for 1 minute and drain well. Toss noodles with 2 tablespoons vegetable oil; set aside. 3) In a hot wok or large frying pan, stir-fry shrimp and chicken in 2 tablespoons vegetable oil until just done, about 2 minutes. Add garlic, cabbage, carrots and tomatoes; stir-fry for 1 minute. 4) Add noodles; stir-fry 1 minute more. Add 1 cup vinegar mixture; stir-fry until ingredients are well incorporated, about 2 minutes. Add scallions, cilantro and sesame oil; toss briefly. 5) Garnish with fried shallots and a lime wedge. Ingredients: 2 tablespoons white vinegar, 1/4 cup curry powder, 1/2 teaspoon turmeric powder, 1/4 cup light soy sauce, 1 cup vegetarian oyster sauce, 1/4 cup sriricha chili sauce, 1/4 cup ketchup, 2 gallons water, 1 lb rice vermicelli, 4 tablespoons vegetable oil, divided, 8 ounces medium shrimp, 8 ounces chicken, julienned, 1 tablespoon garlic, minced, 1 cup cabbage, julienned, 1/2 cup carrot, julienned, 2 medium tomatoes, diced, 1 bunch scallion, green parts cut 2 inches long, 1/4 bunch cilantro, roughly chopped, 1 teaspoon sesame oil, 1/3 cup fried shallots (garnish), 1 lime, quartered (garnish)","2 tablespoons white vinegar, 1/4 cup curry powder, 1/2 teaspoon turmeric powder, 1/4 cup light soy sauce, 1 cup vegetarian oyster sauce, 1/4 cup sriricha chili sauce, 1/4 cup ketchup, 2 gallons water, 1 lb rice vermicelli, 4 tablespoons vegetable oil, divided, 8 ounces medium shrimp, 8 ounces chicken, julienned, 1 tablespoon garlic, minced, 1 cup cabbage, julienned, 1/2 cup carrot, julienned, 2 medium tomatoes, diced, 1 bunch scallion, green parts cut 2 inches long, 1/4 bunch cilantro, roughly chopped, 1 teaspoon sesame oil, 1/3 cup fried shallots (garnish), 1 lime, quartered (garnish), chinese"
"Singapore Sweet And Sour Pork Steps: 1) Arrange pork medallions on a cutting board and cover with a sheet of plastic wrap. Using a mallet or the back of a knife, pound the pork until each medallion is fairly flat, about 1/4 inch thick. 2) Cut each medallion into 1 inch square pieces. In a medium bowl, combine the salt, baking soda and water. Place the pork pieces in the bowl and turn to coat, remove and coat with the beaten egg. 3) Place the cornstarch in a large, resealable plastic bag. Place the pork pieces in the bag with the flour and shake the meat around until all the pieces are coated with the flour. 4) Heat the oil in a large skillet or wok over medium high heat. Place the pork pieces in the oil and fry for 5 to 10 minutes, or until golden brown. Remove the pork from the oil and set aside. 5) In the same skillet over medium high heat, combine the green bell pepper, red chile pepper, pineapple, onion and tomato and saute for 5 minutes. 6) To make the sauce:. 7) In a separate small bowl, combine the white sugar, salt, cornstarch, vinegar, ketchup, plum sauce and water. Mix well and pour this into the skillet with the vegetables. 8) Reduce heat to low and let simmer for 5 to 10 minutes, allowing the gravy to thicken. Return the pork pieces to the skillet, mix all together well. 9) Serve over rice. Ingredients: 1 lb pork medallions, 1 teaspoon salt, 1/2 teaspoon baking soda, 1 tablespoon water, 1 egg, beaten, 1/4 cup cornstarch, 2 tablespoons vegetable oil, 1 green bell pepper, chopped, 1 red chili pepper, chopped, 1/2 cup crushed pineapple, 1 onion, chopped, 1 tomatoes, chopped, 4 tablespoons white sugar, 1/2 teaspoon salt, 1 1/2 tablespoons cornstarch, 4 tablespoons white vinegar, 3 tablespoons ketchup, 2 tablespoons plum sauce, 5 tablespoons water","1 lb pork medallions, 1 teaspoon salt, 1/2 teaspoon baking soda, 1 tablespoon water, 1 egg, beaten, 1/4 cup cornstarch, 2 tablespoons vegetable oil, 1 green bell pepper, chopped, 1 red chili pepper, chopped, 1/2 cup crushed pineapple, 1 onion, chopped, 1 tomatoes, chopped, 4 tablespoons white sugar, 1/2 teaspoon salt, 1 1/2 tablespoons cornstarch, 4 tablespoons white vinegar, 3 tablespoons ketchup, 2 tablespoons plum sauce, 5 tablespoons water, chinese"
"Turmeric Fried Chicken Wings Steps: 1) dry chicken wings 2) Dry cleaned chicken wings with kitchen towels. 3) Pierce chicken wings with holes using a fork. 4) Marinate overnight 5) Add salt, sugar, turmeric powder and egg to chicken wings, coat each well with marinade. Keep refrigerated to marinate for at least 5 hours or overnight. (Reminder: Marinate the wings longer for better taste.) 6) add cornstarch to marinated wings 7) Set aside the marinated wings at room temperature for 1 hour before frying. Add cornstarch to marinated wings, mix well. 8) deep-fry 9) Preheat about 600 g of cooking oil, turn to medium heat, deep-fry the wings for 7-8 minutes, until golden brown. 10) drain off oil 11) Turn to medium-high heat for 30-45 seconds before removing from oil. Put fried wings on strainer ladle to drain off the oil. Ingredients: 8 chicken wings (cleaned), 2 tbsps cornstarch, 1 tsp fine salt, 1 tbsp fine sugar, 4 tsps turmeric powder, 1 egg (grade A/size: L, lightly beaten)","8 chicken wings (cleaned), 2 tbsps cornstarch, 1 tsp fine salt, 1 tbsp fine sugar, 4 tsps turmeric powder, 1 egg (grade A/size: L, lightly beaten), japanese"
"Sambal Hebi (Dried Shrimp Sambal) Steps: 1) Process soaked dried shrimp until fine (you may pound with mortar and pestle). 2) Blend together garlic and cooking oil until fine. Add dried chilies in 3 batches, blend until smooth. Add in red chili, blend until smooth. Add in shallot, blend until smooth. 3) Pour chili paste into non-stick cooking pan, bring to the boil. Reduce to medium heat, cook for 6-7 minutes until fragrant. Discard excess chili oil. 4) Add in sugar and salt, mix well. Add in dried shrimp, mix well. 5) Cook over medium heat for 11-12 minutes until fragrant. Ingredients: 200 g dried shrimp (soaked & drained), 220 ml cooking oil, 30 g garlic, 45 g dried chilies (seeded, rinsed & drained), 65 g red chili (seeded), 130 g shallot, 5½ tbsps fine sugar, 1 tsp fine salt","200 g dried shrimp (soaked & drained), 220 ml cooking oil, 30 g garlic, 45 g dried chilies (seeded, rinsed & drained), 65 g red chili (seeded), 130 g shallot, 5½ tbsps fine sugar, 1 tsp fine salt, italian"
"Singapore Rice Noodles Steps: 1) Bring a large pot of water to a boil. 2) Drop in the rice noodles and boil until tender but firm to the bite, 1 to 2 minutes. 3) Drain and rinse under cold water. 4) Let the noodle air-dry and firm up in a colander for at least 30 minutes or as long as 2 to 3 hours; toss occasionally. 5) When you are ready to prepare the dish, whisk together the eggs, 1/2 teaspoon of the curry powder, and all of the sesame oil until blended. 6) Spoon 1/2 tablespoon of the peanut or vegetable oil into a heavy skillet or wok set over moderately high heat. 7) Pour in the egg mixture and immediately reduce the heat to low. 8) Scramble the eggs until just set; turn out onto a plate and reserve. 9) Return the skillet to moderately high heat and spoon in 1/2 tablespoon of the oil. 10) Add the shrimp and stir fry until just barely cooked, about 1 minute (they will cook more later). 11) Remove the shrimp and reserve in a small bowl. 12) Return the skillet to moderately high heat and spoon in 1 tablespoon of the oil. 13) Add the pork and chicken and stir fry until just cooked, about 1 minute. 14) Remove and reserve in a small bowl. 15) Place a large, heavy wok over high heat. 16) When very hot, spoon in 2 tablespoons of the oil. 17) Add the ginger, garlic, chilies, and the remaining curry powder. 18) Stir fry until fragrant, about 30 seconds. 19) Add the Chinese pork or ham and red and green bell peppers and stir fry for 30 seconds. 20) Sprinkle on 1 to 2 tablespoons of water and cook until it boils away. 21) Push the ingredients to the sides of the wok and add the remaining 1 tablespoon oil. 22) Add the scallions, bean sprouts, and noodles and toss over high heat until very hot, about 30 seconds. 23) Pour in the chicken broth and bring to a boil. 24) Return the shrimp, pork, and chicken to the wok and add the soy sauce and sherry. 25) Toss well and add the salt and the reserved scrambled eggs. 26) Sprinkle on the cilantro and turn out onto a larger platter. 27) Serve hot. Ingredients: 7 -8 ounces fine dried noodles (rice sticks), 3 large eggs, 2 tablespoons curry powder, 2 teaspoons oriental sesame oil, 5 tablespoons peanut oil or 5 tablespoons vegetable oil, 8 ounces medium shrimp, shelled and deveined, 4 ounces raw lean pork, trimmed and cut into 1/4 inch julienne, 4 ounces boneless skinless chicken breasts, cut into 1/4 inch julienne, 1 tablespoon minced fresh ginger, 1 garlic clove, minced, 1 -2 fresh hot chili pepper, partly seeded and slivered, 3 ounces Chinese barbecue pork or 3 ounces smoked ham, cut into 1/4 inch julienne, 1/2 red bell pepper, cut into 1/4 inch julienne, 1/2 green bell pepper, cut into 1/4 inch julienne, 12 whole scallions, cut diagonally into 1 1/2 inch lengths, 1 1/2 cups fresh bean sprouts or 1 1/2 cups shredded napa cabbage, 1/2 cup chicken broth, 3 tablespoons soy sauce, 2 tablespoons dry sherry, 1 pinch salt, 2 tablespoons chopped fresh cilantro","7 -8 ounces fine dried noodles (rice sticks), 3 large eggs, 2 tablespoons curry powder, 2 teaspoons oriental sesame oil, 5 tablespoons peanut oil or 5 tablespoons vegetable oil, 8 ounces medium shrimp, shelled and deveined, 4 ounces raw lean pork, trimmed and cut into 1/4 inch julienne, 4 ounces boneless skinless chicken breasts, cut into 1/4 inch julienne, 1 tablespoon minced fresh ginger, 1 garlic clove, minced, 1 -2 fresh hot chili pepper, partly seeded and slivered, 3 ounces Chinese barbecue pork or 3 ounces smoked ham, cut into 1/4 inch julienne, 1/2 red bell pepper, cut into 1/4 inch julienne, 1/2 green bell pepper, cut into 1/4 inch julienne, 12 whole scallions, cut diagonally into 1 1/2 inch lengths, 1 1/2 cups fresh bean sprouts or 1 1/2 cups shredded napa cabbage, 1/2 cup chicken broth, 3 tablespoons soy sauce, 2 tablespoons dry sherry, 1 pinch salt, 2 tablespoons chopped fresh cilantro, chinese"
"Singapore Burgers Steps: 1) Heat oils in a skillet. 2) Add mushrooms and cook 5-8 minutes or until tender. 3) Prepare grill, remembering to oil grate (can also cook burgers on griddle or under the broiler). 4) Mix together ground beef, beaten eggs, chopped scallions, soy sauce, ginger, cornstarch, cilantro, and cayenne (may omit if you don't like it spicy). 5) Form burgers into 4 equal size patties and place on waxed paper until ready to cook. 6) Cook burgers about 15 minutes or until cooked through to your liking, flipping them over once, but do not press burgers while cooking. 7) Toast buns. 8) Serve burgers on toasted buns with sauteed mushrooms, lettuce, and a little bit of peanut sauce (if desired). Ingredients: 12 ounces fresh mushrooms, sliced, 1 tablespoon peanut oil, 1 tablespoon hot sesame oil, 1 tablespoon dark sesame oil, 1 lb ground chuck, 2 eggs, beaten, 4 scallions, chopped, 2 tablespoons soy sauce, 2 tablespoons ground ginger, 1 tablespoon cornstarch, 2 -3 tablespoons chopped cilantro, 1/2 teaspoon cayenne pepper, 4 sandwich buns or 4 kaiser rolls, split and toasted, 4 pieces red leaf lettuce, 1/4 cup peanut satay sauce (optional)","12 ounces fresh mushrooms, sliced, 1 tablespoon peanut oil, 1 tablespoon hot sesame oil, 1 tablespoon dark sesame oil, 1 lb ground chuck, 2 eggs, beaten, 4 scallions, chopped, 2 tablespoons soy sauce, 2 tablespoons ground ginger, 1 tablespoon cornstarch, 2 -3 tablespoons chopped cilantro, 1/2 teaspoon cayenne pepper, 4 sandwich buns or 4 kaiser rolls, split and toasted, 4 pieces red leaf lettuce, 1/4 cup peanut satay sauce (optional), chinese"
"Crispy Fried Chicken Tenders Recipe Steps: 1) Cut chicken breast (boneless and skinless) into strips. 2) Marinate 3) Add in ½ tsp of salt, ½ tsp of pepper, ½ tsp of chili flakes, 1 Tbsp. of water and 2 cloves of pressed garlic. Marinate for 1 hour in the refrigerator. 4) add seasoning to flour 5) Mix 200 g all-purpose flour with ⅛ tsp baking powder, 1 tsp salt, 1 ½ tsp pepper and 1 ½ tsp chili flakes, whisk and mix well. 6) beat eggs 7) Crack 2 eggs, beat with fork until white and yolk are combined. 8) coat chicken strips with flour 9) Dredge chicken strips in flour mixture to fully coat each strip. 10) coat with egg 11) Dip chicken strips in the egg and coat well. 12) coat again with flour 13) Back to flour mixture to give another coat of flour and set aside for 10 minutes. 14) Deep-fry 15) Heat oil to 160°C-170°C (320°F-340°F). Deep-fry for about 4-5 minutes or until golden brown. 16) Serve 17) Cool on wire rack, serve immediately. Crispy on the outside, tender and juicy on the inside Fried Chicken Tenders. Ingredients: 2 chicken breast (boneless, skinless; about 500g), ½ tsp salt, ½ tsp Pepper, ½ tsp chili flakes (or chili powder), 1 Tbsp. water, 2 cloves of garlic (pressed or finely minced), 2 eggs, 200 g all-purpose flour, ⅛ tsp Baking powder, 1 tsp Salt, 1 ½ tsp pepper, 1 ½ tsp chili flakes (or chili powder; cayenne pepper for extra kick)","2 chicken breast (boneless, skinless; about 500g), ½ tsp salt, ½ tsp Pepper, ½ tsp chili flakes (or chili powder), 1 Tbsp. water, 2 cloves of garlic (pressed or finely minced), 2 eggs, 200 g all-purpose flour, ⅛ tsp Baking powder, 1 tsp Salt, 1 ½ tsp pepper, 1 ½ tsp chili flakes (or chili powder; cayenne pepper for extra kick), mexican"
"Five Spice Bak Kian (Minced Pork Rolls) Steps: 1) Combine ingredients for pork filling, marinate 2) Combine ingredients for pork filling in a mixing bowl, mix with hand for about 3 minutes until well blended. Set aside to marinate for 20 minutes. 3) Divide filling 4) Divide the filling into 10 equal portions. 5) wrap filling with beancurd skin 6) Put 1 portion of pork filling onto 1 piece of beancurd skin. Wrap the filling with beancurd skin. Brush the beancurd skin end with some water. Seal the pork roll properly. 7) cut into small pieces 8) Cut each pork roll into 5 small pieces. 9) Deep-fry 10) Preheat 600 ml of cooking to 160°C, turn to medium heat. Deep-fry the bak kian pieces until golden brown, stirring occasionally to distribute the heat evenly. 11) strain the oil 12) After removing from heat, put the fried bak kian on a strainer ladle to strain the oil. 13) absorb oil with kitchen towels 14) Transfer the bak kian to kitchen towels to absorb the oil. Ingredients: 500 g minced pork, 100 g jicama (chopped), 50 g carrot (chopped), 20 g green onions (chopped), 1 ½ tsps ground pepper, ¾ tsp fine salt, 2 tsps fine sugar, 1 ½ tsps five spice powder, 2 tsps cornstarch, ½ tsp sesame oil, 10 pcs unsalted beancurd skin (18 cm x 20 cm)","500 g minced pork, 100 g jicama (chopped), 50 g carrot (chopped), 20 g green onions (chopped), 1 ½ tsps ground pepper, ¾ tsp fine salt, 2 tsps fine sugar, 1 ½ tsps five spice powder, 2 tsps cornstarch, ½ tsp sesame oil, 10 pcs unsalted beancurd skin (18 cm x 20 cm), chinese"
