title,instructions,ingredients
Singapore Teochew Duck,"For Chili Sauce: Blend all ingredients in a blender or m& p, season to taste with sugar and salt and add a little water to dilute if necessary.
The taste will vary considerably depending on the chiles.
I use sambal oelek instead.
Combine sugar and 1 T water in small saucepan and stir over low heat until sugar dissolves.
Increase heat and boil without stirring until medium caramel colour.
Remove from heat and carefully add 1 cup water (mixture will spit).
Stir over heat until smooth.
Transfer mixture to heavy pan large enough to hold duck (roasting pan is good), as close as possible to a single layer, add 5-spice powder, garlic, galangal, sugar syrup, soy sauces, star anise and cinnamon.
Add enough water to come about half way up the duck pieces.
Bring to simmer and skim any scum that comes to the surface.
Braise duck on low simmer for about 1 to 1 1/2 hours.
Remove duck from liquid and refrigerate.
Defat the liquid (cooled overnight is best).
Return sauce to heat and reduce until syrupy.
Take all the skin off duck, reserve.
(See note below).
Take meat off the duck, chop into bite size pieces, add it to the reheated sauce, and serve the whole lot on a platter.
Chili sauce is served alongside, with steamed rice.
Notes: I salt the skin and broil them until crispy, chop them up and sprinkle over the platter with chopped green onions.
Recipe works fine with breasts too.
Leave the duck in the pot with the liquid while refrigerating overnight.
Then defat.
add duck meat to sauce while reducing (about halfway through).
If you wait until syrupy, there is very little liquid left.","['5 lbs duck hindquarters, rinsed and dried,skin on (can use a whole duck cut into pieces or breasts)', '1/2 teaspoon five-spice powder', '4 ounces galangal, peeled and sliced', '1/4 cup sugar', '3 cloves garlic, chopped', '2 star anise', '1 cinnamon stick', '1 tablespoon dark soy sauce', '2 tablespoons light soy sauce', 'chili sauce (or use sambal oelek)', '6 fresh hot red chilies', '2 cloves garlic', '1/3 cup rice vinegar', 'green onion, garnish']"
Singapore Sling Slush,"Mix all ingredients except 7-up.
Place in freezer overnight (1day).
Add desired amount to your glass and fill with 7-up-- ENJOY!","['12 ounces gin', '1/2 cup cherry brandy', '1/2 cup grenadine', '1/2 cup lemon gin', '1 (12 ounce) can frozen pink lemonade concentrate', '1 (19 ounce) can pineapple juice', '4 cups water', '1/2 cup sugar', '7-Up soda or Sprite']"
Alli's Singapore Sling,"Combine first 3 ingredients in a cocktail shaker with ice.
Pour into a collins glass, and fill with soda water.
Float the cherry brandy on top of the drink by pouring it gently over the back of a bar spoon.
Garnish with fruit.","['1 1/2 ounces gin', '2 1/2 ounces sweetened lemon juice', '1/2 ounce grenadine', 'soda water', '1 ounce cherry brandy', '1 orange slice', '1 maraschino cherry']"
Curried Singapore Noodles,"Bring 4 quarts water to boiling.
To the boiling water stir in 1 tablespoon salt and the noodles.
Cook, stirring often, until the noodles are slightly underdone, about two minutes.
Drain noodles and rinse under cold water and drain again and set aside.
Pat the shrimp dry with paper towl and toss with 1/2 teaspoon of the curry powder.
Heat 1 tablespoon of the oil in large frying pan or wok until just smoking.
Add the shrimp and cook stirring ofter until slightly browned, about 2 minutes.
Transfer shrimp to clean bowl.
Add the remaining 1 tablespoon of oil to the skillet and heat over medium heat until shimmering.
Add the shallots,bell pepper and the remaining 2 teaspoons curry powder.
Cook until the vegetables have softened, about 2 minutes.
Stir in the garlic and cook until fragrant, about 15 seconds.
Stir in the cooked vermicelli, shrimp and any accumulated juice, the bean sprouts, broth, soy sauce, mirin and scallions.
Toss until ingredients are combined and noodles have heated through, about 2 minutes.
For a spicier dish, add a pinch of cayenne pepper to the dish, or serve with Tobasco.","['6 ounces rice vermicelli (or rice sticks)', '1 tablespoon salt', '1 lb medium shrimp, peeled and deveived', '1/2 teaspoon curry powder', '2 teasspoons curry powder', '2 tablespoons vegetable oil', '3 shallots, sliced thin', '1 red bell pepper, stemmed seeded and sliced thin', '2 garlic cloves, minced', '1 cup bean sprouts', '3/4 cup chicken broth', '1/4 cup soy sauce', '2 tablespoons mirin', '4 scallions, sliced thin', 'cayenne pepper', 'Tabasco sauce']"
Singapore Chicken Stew,"Rinse chicken and pat dry. Cut into 1-inch chunks. Combine flour, salt, chilli flakes, and five spice in a ziplock baggy. Add chicken chunks and shake until coated.
Heat oil in a 4-5 quart pan over medium-high heat. Add chicken and spice mixture, garlic, and ginger. Stir-fry until chicken is cooked outside but still pink inside, about 3 minutes (cut to test).
Add coconut milk and broth and bring to a simmer. Reduce heat; cover and simmer about 5 minutes longer.
Add spinach leaves, corn, tomatoes, water chestnuts, green onions, and lime juice. Cook, stirring frequently, until spinach is limp, about 3 minutes.
Serve garnished with cilantro leaves.","['1 lb boneless skinless chicken breast', '2 tablespoons flour', '1/2 teaspoon salt', '1/2 teaspoon hot chili flakes', '1/2 teaspoon Chinese five spice powder', '1 tablespoon vegetable oil', '2 garlic cloves, peeled and minced', '1 tablespoon grated fresh gingerroot', '1 (14 ounce) can coconut milk', '1 (14 1/2 ounce) can reduced-sodium fat-free chicken broth', '2 cups lightly packed washed baby spinach leaves (about 4 ozs)', '1 (14 ounce) can baby corn, drained', '2 roma tomatoes, cored and chopped (about 1/2 lb total)', '1/4 cup sliced canned water chestnut', '1/4 cup thinly sliced green onion (including some green tops)', '1 tablespoon lime juice', '3 tablespoons fresh cilantro leaves (also called coriander leaves)']"
The Raffles Hotel Original Singapore Gin Sling Cocktail,"Shake with ice.
Strain into an ice filled collins glass.
Garnish with cherry and slice of pineapple.
SINGAPORE SLING.
The Singapore Sling was created at Raffles Hotel at the turn-of-the-century by Hainanese-Chinese bartender, Mr. Ngiam Tong Boon.
In the Hotel's museum, visitors may view the safe in which Mr. Ngiam locked away his precious recipe books, as well as the Sling recipe hastily jotted on a bar-chit in 1936 by a visitor to the Hotel who asked the waiter for it.
Originally, the Singapore Sling was meant as a woman's drink, hence the attractive pink colour. Today, it is very definately a drink enjoyed by all, without which any visit to Raffles Hotel is incomplete.
Metric Measurements as printed on the orginal raffles Hotel menu.
30ml Gin.
15 ml Cherry Brandy.
120 ml Pineapple Juice.
15 ml Lime Juice.
7.5 ml Cointreau.
7.5 ml Dom Benedictine.
10 ml Grenadine.
A Dash of Angostura Bitters.
Garnish with a slice of Pineapple and Cherry.","['1 1/2 ounces gin', '1/2 ounce cherry heering', '1/4 ounce Cointreau liqueur', '1/4 ounce benedictine', '4 ounces pineapple juice', '1/2 ounce lime juice', '1/3 ounce grenadine', '1 dash bitters']"
Singapore Noodles,"Separate noodles,then soak according to package directions. If noodles soften before you need them; drain and toss with a little vegetable oil.
Mean while rinse shrimp under cold running water to remove any ice crystals. Pat dry with paper towels. In a small bowl, stir lime juice with soy and 1 tablespoon of oil.
Heat remaining 1 tablespoon oil in a large non-stick frying pan or wok over medium-high heat. Add chicken. Stir fry until golden, 3 minutes. Then add shrimp, carrot, pepper, garlic and ginger. Sprinkle with curry powder and salt. Stir often until shrimp turn bright pink, 3 minutes. Add drained noodles; then pour lime juice mixture. Stir often separating noodles until hot and noodles turn yellow, 2 minutes. Remove from heat and stir in onions and coriander.
Hot sauce can be added if not spicy enough.","['0.5 (250 g) package vermicelli', '0.5 (454 g) bag frozen shrimp, peeled and uncooked', '1 boneless skinless chicken breast, cut into strips', '2 green onions, sliced', '1 carrot, sliced into julienne strips', '1/2 red pepper, thinly sliced', '2 tablespoons lime juice', '1 tablespoon soy sauce', '1 tablespoon water', '2 tablespoons vegetable oil', '1 garlic clove, chopped', '1 teaspoon ginger, finely grated', '2 teaspoons curry powder', 'salt', '1/3 cup fresh coriander (optional)']"
Singapore Fried Rice Noodles,"Soak the rice vermicelli in hot water for 15-20 minutes.
Drain and rinse in cold water.
Heatabout 1 tbsp oil and scramble the beaten eggs, remove and reserve.
Heat the remaining oil, fry the onions until opague.
Add the bean sprouts and rice vermicelli with the curry powder and the sugar.
blend well.
Add the soy sauce, meat, prawns, peas and scrambled eggs.
continue stirring for 2-3 minutes.
add the spring onion and chilles,.
mix gently and serve.","['375 g rice vermicelli, soaked', '4 -5 teaspoons oil', '3 eggs, beaten', '1 small onion, sliced', '4 ounces bean sprouts', '1 tablespoon curry powder or 1 tablespoon curry paste', '1 teaspoon sugar', '2 tablespoons light soy sauce', '4 ounces shredded cooked chicken or 4 ounces shredded cooked pork', '2 ounces peas', '115 g large shelled prawns', '1 spring onion, thinly shredded', '2 fresh red chilies, seeded and shredded']"
Singapore Sling,"Add ingredients to a 10 oz.
glass filled w/ ice.
Shake lightly (don't want the soda water to fizz too much, but the cherry brandy is thick and will settle at the bottom if not shaken) Garnish with an orange cherry flag.","['1 1/2 ounces gin', '1/2 ounce cherry brandy', '1/2 ounce lemon juice', 'sour mix', 'soda water']"
Stir-Fried Noodles With Singapore Lamb Curry,"Cook noodles in large pot of boiling salted water until just tender but still firm to bite, stirring occasionally.
Drain.
Return to pot and mix in 1 tablespoon oil.
Stir Sherry and cornstarch in small bowl to blend.
Mix in next 5 ingredients.
Heat 2 tablespoons oil in large nonstick skillet over high heat.
Add ginger, garlic, green onions, and chiles.
Sauté until fragrant, about 1 minute.
Add lamb, cabbage, and all bell peppers.
Stir-fry until lamb is just cooked through, about 2 minutes.
Stir Sherry seasoning mixture and add; simmer until sauce thickens, stirring often, about 2 minutes.
Add lamb sauce to noodles in pot.
Toss over medium-high heat until noodles are heated and coated with sauce, about 2 minutes.
Mix in 2 tablespoons cilantro.
Transfer to bowl.
Sprinkle with 2 tablespoons cilantro.","['8 ounces crisp chow mein noodles (Asian-style spaghetti)', '3 tablespoons vegetable oil, divided', '2 tablespoons dry sherry', '1 teaspoon cornstarch', '2 tablespoons soy sauce', '1 tablespoon mild-flavored light molasses', '2 tablespoons canned unsweetened coconut milk', '2 teaspoons curry powder', '1 teaspoon chili-garlic sauce', '3 tablespoons finely chopped peeled fresh ginger', '2 garlic cloves, minced', '2 green onions, cut into 1 inch pieces', '2 jalapeno chiles, seeded, chopped', '8 ounces boneless leg of lamb, cut into 1 x 1/2 x 1/4 inch strips', '2 cups thinly sliced napa cabbage', '3/4 cup matchstick-size strips red bell pepper', '3/4 cup matchstick-size strips green bell pepper', '4 tablespoons finely chopped fresh cilantro, divided']"
Singapore Stir-Fried Noodles,"cover noodles with warn water and soak until soft, about 15 minutes, drain and set aside.
heat nonstick skillet over medium heat, pour in eggs and swirl to form thin layer on bottom. flip eggs and cook other side briefly. cut omelette into thin strips and set aside.
heat 2 teaspoons oil in large nonstick skillet or wok over high heat. add shrimp and stir fry for 1 minute. add barbecued pork and celery and stir fry for 1 minute. remove from heat and stir in green onions and egg strips. remove mixture from pan.
heat remaining 2 teaspoons oil in same pan over medium heat. add curry powder and stir for 20 seconds. add noodles and toss well. add thickened stock and soy sauce ans stir to mix well. cover and cook 2 minutes.
add shrimp and pork mixture, mix well and cook over med-high heat until moisture is completely absorbed. add bean sprouts and toss to mix.
garnish with cilantro and season with freshly ground pepper if desired.
serve immediately.","['1/2 lb rice stick noodles (dry)', '2 eggs, beaten', '4 teaspoons canola oil, divided', '1/3 lb small raw shrimp, shelled', '1/4 barbecued pork, cut in thin strips', '3/4 cup celery, thinly sliced on the diagonal', '1/2 cup green onion, chopped', '2 tablespoons curry powder', '1 cup quick thickened stock (see my recipe for stock)', '1 tablespoon soy sauce', '2 cups bean sprouts, tightly packed', '1 tablespoon cilantro, chopped', 'black pepper, to taste']"
Singapore Fried Noodles - Simplified and Improved for 2008,"PREPARATION.
Boil noodles until cooked but still firm - approx 3 minutes.
Drain and rinse with cold water, then refrigerate.
Beat eggs and stir fry/scramble. Set aside.
Blanch bean sprouts, water chestnuts and corn. Set aside.
Mix chicken broth, soy sauce, sugar and chili oil in a bowl. Set aside.
STIR FRY.
Add 2 tbsp oil to large frying pan (heat on high).
Add onion, garlic, ginger and stir fry until onion is translucent.
Add bean sprouts, water chestnuts and corn.
Stir-fry on high heat for 2 minutes.
Add sauce and continue cooking about three minutes.
Remove to holding bowl.
Turn heat down to medium and add remaining oil.
Add curry powder, stirring to mix with oil.
Add noodles and toss to coat and heat them.
Add vegetables and eggs and toss.
Turn heat down to low and cook for a couple minutes.","['200 g instant stir-fry noodles', '4 eggs', '340 g fresh bean sprouts', '2 (227 ml) cans water chestnuts', '1 (400 ml) can of whole baby corn', '1 medium onion, Chopped Finely', '2 teaspoons minced garlic', '2 teaspoons minced ginger', '1 tablespoon curry powder', '6 tablespoons oil', '1 (8 ounce) can chicken broth', '1 tablespoon soy sauce', '1 teaspoon sugar', '1 teaspoon chili oil']"
Singapore Noodles With Red-Roasted Pork,"Trim any fat from the pork fillet.
In a bowl mix together all the marinade ingredients and coat the pork and marinade for 2 hours. Preheat the oven to 220°C/425°F/gas7. Lift pork onto a rack resting over a foil lined roasting tin and roast for 10 minutes. Lower oven temp to 180°C/350°F/gas4 and cook for a further 15 minutes, basting occasionally.
Cook noodles according to packet instructions, drain well and toss with sesame oil and set aside. Cut the red-roasted pork into thin slices.
Heat a wok or large frying pan and add groundnut oil. When very hot, add garlic and spring onions and stir fry for 30 seconds. Add chillies, green pepper and mushrooms and stir fry for 1-2 minutes.
Stir in soy sauce, yellow bean sauce, sherry, caster sugar and seasoning to taste.
Bring just to the boil and cook, stirring frequently for 2-3 minutes. Add noodles and sliced pork and toss over high heat for 1-2 minutes until piping hot.","['450 g pork fillets', '250 g dried egg noodles', '2 teaspoons sesame oil', '2 tablespoons peanut oil', '2 chopped garlic cloves', '6 chopped spring onions', '2 deseeded and finely chopped green chilies', '1 deseeded and sliced green pepper', '8 trimmed and quartered closed cup mushrooms', '2 tablespoons dark soy sauce', '2 tablespoons yellow bean sauce (Sharwoods)', '2 tablespoons dry sherry', '2 teaspoons caster sugar', '1 inch grated fresh ginger or 1 tablespoon lazy ginger', '1 crushed garlic clove', '1 tablespoon hoisin sauce', '1 tablespoon dark soy sauce', '1 teaspoon soft light brown sugar', '1/2 teaspoon five-spice powder', '1 tablespoon sunflower oil', '4 drops red food coloring', '1 tablespoon runny honey']"
Singapore Chicken Noodles,"Heat the oil in a wok and stir-fry the chicken, pepper and baby sweetcorn. Add the chicken broth and stir until chicken is cooked through.
Add the eggs and stir until scrambled.
Add the cilantro, soy sauce, noodles, sesame oil and Tabasco.
Garnish with a handful of coriander to serve.","['1 teaspoon olive oil', '2 chicken breasts, cut into strips', '1 red bell pepper, cut into strips', '4 baby corn', '1/2 cup chicken broth', '2 eggs, beaten', '2 tablespoons fresh cilantro, chopped', '2 teaspoons soy sauce', '3 ounces egg noodles (cooked according to packet instructions)', '1 tablespoon sesame oil', '1 dash Tabasco sauce']"
Singapore Chile Crabs,"Blend garlic, ginger, dried chile, dried shrimp in a blender to form a smooth paste.
Stir-fry the paste in 30 tbsp of hot corn oil til fragrant.
Transfer to a deep bowl.
Clean crabs and cut each into 4-6 pieces.
Crack the claws with a pestle.
Stir-fy 10 tsp of minced garlic in 20 tbsp of hot corn oil till fragrant.
Add crabs and stir-fry for about 10 minute.
Cover and cook for another minute.
Uncover and stir briskly once more.
Add in 1/2 cup of water, light soya sauce and 20 tbsp of the paste.
Stir well and cover for 10 minutes.
Thicken the gravy with 10 tbsp of cornflour solution.
Whip egg and stir into the chilli crabs and bring to a boil.
Serve with rice or bread.","['1 kg fresh crab', '8 dried red chilies', '2 onions', '4 garlic cloves', '1 egg', '150 g dried shrimp', '1/2 tablespoon cornflour', '10 tablespoons tomato ketchup', '1 tablespoon light soya sauce', '1 piece ginger, sliced', 'corn oil', 'minced garlic']"
Singapore Rojak,"Toast shirmp paste on low heat for 1 minute.
Blend/process chillies, sugar and belacan to form a paste.
Add salt and tamarind juice. Blend briefly.
Stir in peanuts.
Serve with cucumber, tau kwa (hard bean curd), bean sprouts, green mango or anything really.","['3 -4 large chilies', '1 tablespoon palm sugar, grated', '1 teaspoon shrimp paste, grated', '1/4 teaspoon salt', '2 tablespoons tamarind juice', '1/2 cup peanuts, coarsely chopped']"
Singapore Black Pepper Crab,"Put kecap manis, oyster sauce, sugar and 3 tablespoons water in a small bowl, stir, then set aside.
Pull back the apron of each crab, remove top shell, then intestines and feathery gills. Rinse quickly.
Cut each crab into quarters and crack the legs gently (I use a meat mallet) so the flavours can enter.
Heat the oil in a very large wok over high heat; add the crab pieces and stir fry in batches until the shell is bright orange and the meat almost cooked (about 5 minutes). Remove and repeat until all is cooked.
Add the butter, ginger, garlic, chilli, black and white peppers and coriander to the wok; stir fry 30 seconds.
Add the sauce mixture and stir; bring to the boil, then simmer 2 minutes.
Return the crab to the wok and toss to coat in the sauce.
Cook a further 2-3 minutes to finish cooking the crab then garnish with the spring onions and coriander leaves.
Serve at once.","['3 tablespoons ketjap manis', '3 tablespoons oyster sauce', '3 tablespoons caster sugar', '2 kg raw blue swimmer crabs', '1 1/2 tablespoons oil', '1 1/2 tablespoons butter', '1 1/2 tablespoons grated fresh ginger', '6 garlic cloves, finely chopped', '1 -2 red chile, finely chopped', '1 1/2 tablespoons black pepper', '1 1/2 teaspoons white pepper', '1/4 teaspoon ground coriander', '2 spring onions, finely chopped', '1/4 cup chopped fresh coriander']"
Super Singapore Chicken Rice,"Cut off the chickens legs and wings. Store for later.
Fill a pan big enough to fit the whole chicken, halfway with water. And add the stock cube and half of the ginger.
Bring to a boil and add the chicken without it's limbs.
Cover and let cook over medium heat for max. 20 minutes. Not too long or it'll be dry.
Take out the chicken and leave it covered to cool slowly. If it wasn't totally cooked when it came out of the pan, the residual heat will do it in the time it takes to complete the next few steps.
Take out the ginger and cook the rice in the broth leftover from the chicken. This is the secret to great chicken rice. Cooking the rice in this broth will make it really tasty and a little oily, just the way you want it.
For the sauce, grind up all the ingredients and add more of each to taste. Its supposed to be fiery hot! I add the mirin for a little sweetness.
When the rice is done, drain and let sit covered.
Sharpen your best knife and place the chicken on your cutting board.
To cut perfect breasts off a chicken you need to find the spine. Place your knife in the center of the chicken and push down slightly. The knife will slide off of one side of the spine and this is the side you will be cutting first. Slowly start cutting down and try to feel where the ribs are. Stay as close as possible to them without cutting through. The head side will come off first and you can get a better grip for the last bit. Be careful with the skin though, you want it to stay on. Repeat on the other side and you're done.
Cut the chicken breasts slantwise into pieces about 1 cm or 1/2 inch thick.
Chop up the spring onion and either stir through the rice or sprinkle over later as garnish.
Slice the cucumber into thin strips.
To fix the plate fill a small bowl with rice and tip it over like making a sandcastle. This will give you a perfect dome of rice. Next to that place you perfectly sliced chicken. Place the strips of cucumber next to the chicken. Serve the sauce in separate bowls for dipping. 1 for the chili sauce and another for the soy sauce.
Enjoy!
Add the leftover sauce to the legs and wings in a plastic bag and store in the fridge overnight. Add more if necessary. Stick in the oven for 25 minutes at 160C or 320F and enjoy again!","['1 whole chicken (preferably organic, it just tastes better)', '1 chicken stock cube', '1/2 inch fresh ginger, sliced', '2 cups white rice (pandan if you can get it)', '1 spring onion', '1 cucumber', '1 fresh chili pepper', '1/2 inch ginger', '2 garlic cloves', '2 tablespoons mirin (japanese sweet vinegar)', '1 teaspoon of grated lemongrass', 'dark soy sauce']"
Singapore Sling,"Add the first 3 ingredients to a cocktail shaker filled with ice.
Shake vigorously.
Strain into a highball glass filled with ice.
Top up with soda.
Stir gently.
Garnish with a lemon slice and maraschino cherry.","['1 1/3 ounces gin', '2/3 ounce cherry brandy', '1/2 ounce fresh squeezed lemon juice', 'club soda']"
Quick Shrimp Singapore Noodles,"Bring 3 quarts water to a boil in a large saucepan for cooking the noodles.
Mix the shrimp and 1/2 teaspoon curry powder in a small bowl and set it aside. Mix the garlic and remaining 2 teaspoons curry powder together in another bowl and set it aside. Mix the broth, soy sauce, and mirin together in a third bowl and set it aside.
Add 1 teaspoon salt and the noodles to the boiling water, stir to separate, and boil until tender, about 1 minute. Drain thoroughly and set the noodles aside.
Meanwhile, heat 2 teaspoons oil in a 12-inch nonstick skillet over medium-high heat until shimmering but not smoking. Add the shrimp and cook until slightly browned, about 45 seconds. Turn the shrimp with tongs and continue to cook for another 45 seconds. Remove the shrimp from the pan and set them aside in bowl.
Reduce the heat to medium and add the remaining 2 teaspoons oil. Add the garlic and curry powder mixture and cook until ­fragrant, about 30 seconds. Add the shallots and stir-fry until they begin to soften, about 30 seconds. Add the bell pepper and stir-fry until crisp-tender, about 1 1/2 minutes. Add the softened noodles, shrimp, broth mixture, and bean sprouts and toss until the ingredients are combined and the noodles heated through, about 1 minute. Serve immediately.","['1/2 lb medium shrimp, peeled (41 to 50 count)', '2 1/2 teaspoons curry powder', '2 medium garlic cloves, minced or pressed through a garlic press (about 2 teaspoons)', '3/4 cup canned low sodium chicken broth', '1/4 cup soy sauce', '2 tablespoons mirin (sweet Japanese rice wine)', 'salt', '6 ounces rice vermicelli (also called rice sticks)', '4 teaspoons vegetable oil', '3 medium shallots, sliced thin (about 1/4 cup)', '1 medium red bell pepper, stemmed, seeded, and cut into 1 1/2 by 1/4-inch strips', '1 cup bean sprouts']"
Singapore Sweet Potato Noodles (Spiralizer),"To prepare the sauce. in a small bowl, whisk together the sesame oil, ginger, garlic, tamari, vinegar, maple syrup and 2 teaspoons of the curry powder; set aside.
Using a spiralizer, turn the sweet potatoes into spaghetti-like noodles or use a vegetable peeler to create long, thin, ribbons; set aside.
In a large Dutch oven (can use wok), melt the coconut oil over medium heat and cook the bell pepper until it starts to soften, about 5 minutes. Add the bean sprouts and reserved sauce and cook until the vegetables shrink in size, about 5 minutes more. Add the sweet potato noodles, green onions, and peas and toss well to combine. Partially cover the pot and cook until the potatoes are tender, 8 to 10 minutes.
Taste and adjust the seasonings, adding more curry powder if desired. Serve warm, garnished with cilantro. Store leftovers in an airtight container in the refrigerator for up to 3 days.","['2 medium sweet potatoes', '2 teaspoons sesame oil', '1 tablespoon minced fresh ginger', '1 garlic clove, minced', '1/4 cup tamari (or low sodium soy sauce)', '1 tablespoon unfiltered apple cider vinegar', '1 tablespoon maple syrup (optional)', '2 -3 teaspoons curry powder', '1 teaspoon coconut oil (can sub canola oil)', '1 red bell pepper, chopped', '3 cups mung bean sprouts or 3 cups shredded cabbage', '6 green onions, thinly sliced', '1 cup fresh peas or 1 cup frozen peas', 'fresh cilantro, for garnish']"
Singapore Noodles With Shrimp,"Heat 3 tablespoons oil, curry powder, and cayenne, if using, in a 12-inch nonstick skillet over medium-low heat, stirring occasionally, until fragrant, about 4 minutes. Remove skillet from heat and set aside.
Bring 1½ quarts water to boil. Break rice noodles into thirds and place into a large bowl. Pour boiling water over noodles and stir briefly. Soak noodles until flexible, but not soft, about 2½ minutes, stirring once halfway through soaking. Drain noodles and add in the curry mixture, soy sauce and sugar; using tongs, toss until well combined. Set aside.
Wipe out skillet with paper towels. Heat 2 teaspoons oil in skillet over medium-high heat until shimmering. Add in shrimp in an even layer and cook without moving them until bottoms are browned, about 90 seconds. Stir and continue to cook until just cooked through, about 90 seconds longer. Push shrimp to 1 side of skillet. Add 1 teaspoon of oil to the cleared side of skillet. Add eggs to clearing and sprinkle with ¼ teaspoon of salt. Using a rubber spatula, stir eggs gently until set but still wet, about 1 minute. Stir eggs into shrimp and continue to cook, breaking up large pieces of egg, until eggs are fully cooked, about 30 seconds longer. Transfer shrimp-egg mixture to a second large bowl.
Reduce heat to medium. Heat remaining 1 teaspoon oil in a now-empty skillet until shimmering. Add in garlic and ginger and cook, stirring constantly, until fragrant, about 15 seconds. Add in bell pepper and shallots. Cook, stirring frequently, until vegetables are crisp-tender, about 2 minutes. Transfer to the bowl with the shrimp and egg mixture.
Return skillet to medium-high heat, add broth to skillet, and bring to a simmer. Add noodles and cook, stirring frequently, until liquid is absorbed, about 2 minutes. Add in the shrimp mixture and vegetable mixture and toss to combine. Add in the bean sprouts, green onions and lime juice, toss again until all of the mixture is well combined. Serve immediately with lime wedges. Serves 4 to 6 people.","['4 tablespoons vegetable oil', '2 tablespoons curry powder', '1/8 teaspoon cayenne pepper (optional)', '6 ounces rice vermicelli', '2 tablespoons soy sauce', '1 teaspoon sugar', '12 ounces large shrimp, peeled, deveined, tails removed and cut into 12-inch pieces (26 to 30 per pound)', '4 large eggs, lightly beaten, seasoned with a pinch of salt', '3 garlic cloves, minced to a paste', '1 teaspoon grated fresh ginger', '1 red bell pepper, stemmed, seeded and cut into 2-inch long matchsticks', '2 large shallots, sliced thin', '2/3 cup chicken broth', '4 ounces bean sprouts', '4 green onions, cut into 1/2 inch pieces', '2 teaspoons lime juice, plus lime wedges for serving']"
P F Chang's Singapore Black Pepper Shrimp,"Remove the head and shell of each shrimp, leaving only the shell tail intact. Devein by cutting along the top middle part of the shrimp and remove the black veins.
Cut the spring onions in 1 inch lengths and separate thick bottom white stalks from the top green portion.
Pound the black peppercorns using mortar and pestle till coarse (not powdery).
Melt butter in heated wok or large skillet. Add garlic, crushed peppercorns and thick spring onion (white) stalks and stir fry until garlic is lightly browned.
Add water, light soy sauce, dark soy sauce and brown sugar. Add shrimp and the rest of the spring onions (green). Stir fry till shrimp are cooked (5-7 minutes).","['8 large shrimp', '2 stalks spring onions', '1 tablespoon garlic, minced', '1/2 tablespoon black peppercorns', '1/2 teaspoon light soy sauce', '1/4 teaspoon dark soy sauce', '2 1/2 tablespoons water', '1/2 teaspoon brown sugar', '1 tablespoon butter']"
Singapore Black Pepper Crab Sauce,"Combine oyster sauce, sugar, water, and Kecap manis in a bowl.
Heat the oil and butter in a wok over medium high heat. Add the garlic, chiles, and ginger and cook until fragrant. Add the black pepper, white pepper, coriander, and green onion and stir fry for 30 seconds.
Add the oyster sauce mixture to the wok and stir well. Bring to a boil, reduce heat to medium, and simmer for an additional 5 minutes.
Remove from heat and stir in the fresh cilantro.","['1/2 cup oyster sauce', '1/2 cup granulated sugar', '1/2 cup water', '1/2 cup ketjap manis', '1 1/2 tablespoons vegetable oil', '1 tablespoon unsalted butter', '2 teaspoons fresh garlic, minced', '2 green chilies, minced', '2 tablespoons fresh ginger, minced', '4 teaspoons ground black pepper', '1 teaspoon white pepper', '1 teaspoon ground coriander', '2 green onions, finely chopped', '1/4 cup fresh cilantro, roughly chopped']"
P F Chang's Singapore Street Noodles,"Combine vinegar, curry powder and turmeric; mix until powders are well dissolved. Add soy sauce, oyster sauce, chili sauce and ketchup; mix well. Set aside.
Bring water to a rolling boil. Place rice vermicelli in boiling water for 2 minutes; drain, then immediately rinse under rapid running hot water for 1 minute and drain well. Toss noodles with 2 tablespoons vegetable oil; set aside.
In a hot wok or large frying pan, stir-fry shrimp and chicken in 2 tablespoons vegetable oil until just done, about 2 minutes. Add garlic, cabbage, carrots and tomatoes; stir-fry for 1 minute.
Add noodles; stir-fry 1 minute more. Add 1 cup vinegar mixture; stir-fry until ingredients are well incorporated, about 2 minutes. Add scallions, cilantro and sesame oil; toss briefly.
Garnish with fried shallots and a lime wedge.","['2 tablespoons white vinegar', '1/4 cup curry powder', '1/2 teaspoon turmeric powder', '1/4 cup light soy sauce', '1 cup vegetarian oyster sauce', '1/4 cup sriricha chili sauce', '1/4 cup ketchup', '2 gallons water', '1 lb rice vermicelli', '4 tablespoons vegetable oil, divided', '8 ounces medium shrimp', '8 ounces chicken, julienned', '1 tablespoon garlic, minced', '1 cup cabbage, julienned', '1/2 cup carrot, julienned', '2 medium tomatoes, diced', '1 bunch scallion, green parts cut 2 inches long', '1/4 bunch cilantro, roughly chopped', '1 teaspoon sesame oil', '1/3 cup fried shallots (garnish)', '1 lime, quartered (garnish)']"
